Name,Guide,Banner_Customer_Portal,Logo,Banner
Bubble,<a href="https://help.pricewell.com/integrations/bubble/" class="button-white">Step-by-step Guide</a>,/img/bubble-stripe.png,/img/bubble-stripe.png,/img/bubble-stripe.png,/img/bubble-stripe.png
mmm.page,,https://images.bannerbear.com/direct/5OPnVJ1PybPzA6rYb9/requests/000/024/532/246/APW1bDp49YKJ1ZaEQjmVoORax/e2d8d72ddc98b4450aca754c4a2ecf59e024b9bb.jpg,6234399da8b7e86c5b8702c7_mmmpage.png (https://dl.airtable.com/.attachments/2d6960a10b535497f1190a7958c939f0/c2ad5b57/6234399da8b7e86c5b8702c7_mmmpage.png),https://images.bannerbear.com/direct/B5gkOw1pljD1KA7qvR/requests/000/021/108/697/P0ev7XDZrzqB91oB6MjR9og8N/0c5282d01ac788c710556196e03a5fc5ba4ebdf4.jpg
Popsy,,https://images.bannerbear.com/direct/5OPnVJ1PybPzA6rYb9/requests/000/024/532/248/w0gWbdEPaYaNdlrozrVklOA5j/9c4f5642aa78f710e17037101f0edfafedea7501.jpg,622958e3d92ef10233eb97a9_Popsy.png (https://dl.airtable.com/.attachments/6736357f45ed2e6419fb8922681b54da/4c4cd781/622958e3d92ef10233eb97a9_Popsy.png),https://images.bannerbear.com/direct/B5gkOw1pljD1KA7qvR/requests/000/021/108/698/nGPeXKvLJY7LWvKEzd81p93OM/d74b8a7ab9936e84c3d20aa41fa14962d1bf78bb.jpg
Enzyme,,https://images.bannerbear.com/direct/5OPnVJ1PybPzA6rYb9/requests/000/024/532/258/0eb715rd3zL5NmPe6BPpEmKay/7591b455776e5c1ac3346d3f3c1979c3f7922bc0.jpg,6227a49218e251c02190a25e_Enzyme-so.png (https://dl.airtable.com/.attachments/ddf000a2091eb72a1271902f29860fee/61400179/6227a49218e251c02190a25e_Enzyme-so.png),https://images.bannerbear.com/direct/B5gkOw1pljD1KA7qvR/requests/000/021/108/700/NgL30amMOYe2EpaGzprJxBoye/8c48a5fb9d101b1c072958e4c05f5757a20f3b8b.jpg
Strikingly,,https://images.bannerbear.com/direct/5OPnVJ1PybPzA6rYb9/requests/000/024/532/256/BjdZ0l7VAYAdbVZJQ3Kn1DLqe/ebd6ab570e2a41985a92a9de1c6aa4a92cf3f39a.jpg,6219dc231e919f43d0ae2c2d_Strikingly.png (https://dl.airtable.com/.attachments/6e016ce5395ce846cc9c525613ec7877/16148f87/6219dc231e919f43d0ae2c2d_Strikingly.png),https://images.bannerbear.com/direct/B5gkOw1pljD1KA7qvR/requests/000/021/108/708/5nDZ3xmVezb8eEVBQy2qpdWj9/5499fc0c6ba5bc708960eea3371e506f8b90929b.jpg
Editor X,,https://images.bannerbear.com/direct/5OPnVJ1PybPzA6rYb9/requests/000/024/532/255/9BvRDJ724zWw5K3gzlAKNOd03/42b0f23c2a287e128a9f07bfdf925fe0c0b94793.jpg,6219d77cba0f1f396a7a5856_Editor%20X.png (https://dl.airtable.com/.attachments/e9577d7a15a1c96a2e69130b4cf8d26f/2212ebb9/6219d77cba0f1f396a7a5856_Editor20X.png),https://images.bannerbear.com/direct/B5gkOw1pljD1KA7qvR/requests/000/021/108/710/nGPeXKvLJY7LWvKbzd81p93OM/87288a5aed6de15e0c0b3c79046de048b8d6f779.jpg
Sparkle,,https://images.bannerbear.com/direct/5OPnVJ1PybPzA6rYb9/requests/000/024/532/264/3Be2PXkVAQ4ev1bRYm78j1oNa/ce445b4786fbe9137ba7e81b41fcee212832d0b2.jpg,61fce755f02900341b1621aa_Sparkle.png (https://dl.airtable.com/.attachments/35cb11715740d52fde8cf7e4712e8990/937b995a/61fce755f02900341b1621aa_Sparkle.png),https://images.bannerbear.com/direct/B5gkOw1pljD1KA7qvR/requests/000/021/108/709/P0ev7XDZrzqB91oR6MjR9og8N/9b30e841f0c8094ed3c828eeeac777a02a6fa39f.jpg
WoCode,,https://images.bannerbear.com/direct/5OPnVJ1PybPzA6rYb9/requests/000/024/532/249/aMBJ5DWdLYPMeJqRzXRNjrp4Z/dabca9047add4c6585760c285d6c07dc6d3b622d.jpg,61fcdf89cabd6f2b5df62a8b_Without%20Code.png (https://dl.airtable.com/.attachments/f63c84f5bf5ef990a45c666ab225c53c/c62627e4/61fcdf89cabd6f2b5df62a8b_Without20Code.png),https://images.bannerbear.com/direct/B5gkOw1pljD1KA7qvR/requests/000/021/108/713/0Mn5r3E1XY0namNk6WPoD9kg7/90429080b07795e4e0c428ac26faf033f50964b9.jpg
Typedream,,https://images.bannerbear.com/direct/5OPnVJ1PybPzA6rYb9/requests/000/024/532/250/kW7yv9eBdzpyGqLy6NLRwa5Px/a214c1c160fcbf34a6f8bbe372e7a2da6a1da645.jpg,61fccb6e420be481362a83b7_Typedream.png (https://dl.airtable.com/.attachments/6baaae95ea7065e44b09ec53832a66b1/e14d6f14/61fccb6e420be481362a83b7_Typedream.png),https://images.bannerbear.com/direct/B5gkOw1pljD1KA7qvR/requests/000/021/108/721/nBjKDywPW6Z1Nv29z4vgVoMrN/65fb96f7381c6cb6067b0e4b611a948e530a213f.jpg
Potion,,https://images.bannerbear.com/direct/5OPnVJ1PybPzA6rYb9/requests/000/024/532/253/P0ev7XDZrzq07W9pYMjR9og8N/8150069b0105308c0e73fcdb96eb63ee67b85d01.jpg,61fa42287543f6c1dea2b712_Potion.png (https://dl.airtable.com/.attachments/a841819caac476e6292ce406342dcfd5/d8c79f40/61fa42287543f6c1dea2b712_Potion.png),https://images.bannerbear.com/direct/B5gkOw1pljD1KA7qvR/requests/000/021/108/712/BjdZ0l7VAYA1ZPMoY3Kn1DLqe/7a4bb40ca1431425ec4857e46ef616bcd0366160.jpg
